指令集,指令类型,指令名,id_inst[31:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br,mem_write,mem_read,regs_write,mem2reg,br_addr_mode,src1_sel[1:0],,src2_sel[1:0],,id_imm[31:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,op_ctl[31:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,,,,,,1,0,1,0,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
RV32I,整数计算类:reg-reg,SUB,0,1,0,0,0,0,0,rs2,,,,,rs1,,,,,0,0,0,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,SLL,0,0,0,0,0,0,0,rs2,,,,,rs1,,,,,0,0,1,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,SLT,0,0,0,0,0,0,0,rs2,,,,,rs1,,,,,0,1,0,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,SLTU,0,0,0,0,0,0,0,rs2,,,,,rs1,,,,,0,1,1,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,XOR,0,0,0,0,0,0,0,rs2,,,,,rs1,,,,,1,0,0,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,SRL,0,0,0,0,0,0,0,rs2,,,,,rs1,,,,,1,0,1,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,SRA,0,1,0,0,0,0,0,rs2,,,,,rs1,,,,,1,0,1,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,OR,0,0,0,0,0,0,0,rs2,,,,,rs1,,,,,1,1,0,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,整数计算类:reg-reg,AND,0,0,0,0,0,0,0,rs2,,,,,rs1,,,,,1,1,1,rd,,,,,0,1,1,0,0,1,1,,0,0,0,1,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
RV32I,控制转移类:uncond-jump,JAL,s,imm_10_1,,,,,,,,,,imm_11,imm_19_12,,,,,,,,rd,,,,,1,1,0,1,1,1,1,,1,0,0,1,0,1,1,0,1,0,s,s,s,s,s,s,s,s,s,s,s,s,imm_19_12,,,,,,,,imm_11,imm_10_1,,,,,,,,,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0
